epoch,loss,test_acc,avg_unlabeled_cands,prior_0,prior_1,prior_2,prior_3,prior_4,prior_5,prior_6,prior_7,prior_8,prior_9
1,1.2968564611120321,10.14,0.0,0.09006800502538681,0.09007461369037628,0.09011249244213104,0.09006877988576889,0.09073769301176071,0.09558946639299393,0.11601891368627548,0.09007961302995682,0.1571829468011856,0.09006740897893906
2,1.0923043143810685,9.89,0.0,0.08107928931713104,0.0810852199792862,0.08112997561693192,0.08108028024435043,0.08178766816854477,0.10927572101354599,0.17943741381168365,0.08108951896429062,0.14295344054698944,0.08108137547969818
3,1.1010736146320899,10.0,0.0,0.07297340780496597,0.07297863811254501,0.07302018254995346,0.07297396659851074,0.0736493393778801,0.10412085056304932,0.25389552116394043,0.07298249751329422,0.1304302215576172,0.0729752704501152
4,1.1033891820416009,9.94,0.0,0.06567949801683426,0.06568369269371033,0.065723717212677,0.06567943841218948,0.06637368351221085,0.1477016806602478,0.26372799277305603,0.0656873807311058,0.1280616819858551,0.06568111479282379
5,1.0870290496914656,9.97,0.0,0.05912120267748833,0.05912334844470024,0.05916588753461838,0.05911959707736969,0.060015179216861725,0.17258276045322418,0.29610490798950195,0.05912654474377632,0.11651840806007385,0.05912203714251518
6,1.0497964700472724,10.0,0.0,0.053224507719278336,0.053223684430122375,0.05326968431472778,0.053220391273498535,0.05449435114860535,0.19186857342720032,0.3203739821910858,0.05322672426700592,0.11387451738119125,0.05322347581386566
7,1.0961759557429047,10.59,0.0,0.04790520295500755,0.0479036383330822,0.04794656112790108,0.0479007326066494,0.04911760240793228,0.2530577480792999,0.30379748344421387,0.047906361520290375,0.10656072944402695,0.04790380597114563
8,1.0787283203650995,10.0,0.0,0.0431177020072937,0.04311562329530716,0.04315594583749771,0.043113090097904205,0.04427751153707504,0.2556741237640381,0.3423537015914917,0.04311785101890564,0.09895821660757065,0.043116118758916855
9,1.0662465442701714,10.0,0.0,0.038808614015579224,0.0388059988617897,0.038844045251607895,0.03880387172102928,0.03994664549827576,0.3157089650630951,0.32157161831855774,0.03880782425403595,0.08989543467760086,0.03880683332681656
10,1.0851209684438312,10.0,1.296755075454712,0.0349297933280468,0.034926872700452805,0.03496242314577103,0.03492514044046402,0.03602836653590202,0.2971382439136505,0.373774915933609,0.0349283367395401,0.08345798403024673,0.03492778539657593
11,1.0554079481006897,10.0,1.1993674039840698,0.031439412385225296,0.03143605962395668,0.031469617038965225,0.03143457695841789,0.032525625079870224,0.3488369286060333,0.35341882705688477,0.03143715113401413,0.07656444609165192,0.03143717721104622
12,1.0691701628498196,10.24,1.1469591856002808,0.02829720824956894,0.028293607756495476,0.02832495979964733,0.02829236537218094,0.02938057668507099,0.35809892416000366,0.372856080532074,0.028294483199715614,0.06986670196056366,0.02829490602016449
13,1.0703378580894667,10.0,1.2666938304901123,0.025474607944488525,0.025469157844781876,0.02550129033625126,0.02546842209994793,0.026564454659819603,0.33977392315864563,0.4147174060344696,0.025469336658716202,0.06608976423740387,0.025471415370702744
14,1.0598637022308468,9.41,1.2624897956848145,0.02293366566300392,0.022926708683371544,0.02295958809554577,0.022926386445760727,0.024070901796221733,0.3660258650779724,0.41023945808410645,0.022926433011889458,0.06206103414297104,0.022929752245545387
15,1.0765180775185221,10.0,1.0874693393707275,0.020641937851905823,0.020635010674595833,0.020665932446718216,0.020634841173887253,0.02171829529106617,0.4045094847679138,0.3921758532524109,0.02063465304672718,0.057745762169361115,0.02063804678618908
16,1.0560553614626225,10.0,1.1939183473587036,0.018592750653624535,0.018581612035632133,0.018618080765008926,0.018582474440336227,0.019804466515779495,0.38565996289253235,0.4275381565093994,0.018580162897706032,0.055455662310123444,0.018586469814181328
17,1.0624793568222792,10.0,1.1979387998580933,0.016743116080760956,0.016729628667235374,0.016768433153629303,0.01673112064599991,0.018097832798957825,0.399975061416626,0.4289824068546295,0.01672772876918316,0.05250898003578186,0.016735484823584557
